full_name,biobank_samples,class
Eiseniella tetraedra,1,Clitellata
Elachiptera brevipennis,1,Insecta
Elachista canapennella,2,Insecta
Elaphodus cephalophus,5,Mammalia
Elasmostethus interstinctus,1,Insecta
Elasmucha grisea,1,Insecta
Electra pilosa,1,Gymnolaemata
Electrona risso,1,Actinopterygii
Elephantulus edwardii,2,Mammalia
Elephantulus rupestris,1,Mammalia
Elephas maximus -,1,Mammalia
Elgiva cucularia,1,Insecta
Ellobius lutescens,6,Mammalia
Emberiza calandra -,1,Aves
Emberiza citrinella -,4,Aves
Emberiza schoeniclus -,1,Aves
Embolemus ruddii,1,Insecta
Empicoris vagabundus,1,Insecta
Enallagma cyathigerum,3,Insecta
Enarmonia formosana,1,Insecta
Endasys rusticus,1,Insecta
Endomychus coccineus,1,Insecta
Endromopoda detrita,1,Insecta
Endrosis sarcitrella,1,Insecta
Enhydra lutris -,2,Mammalia
Ennomos alniaria,2,Insecta
Enochrus testaceus,2,Insecta
Enoplognatha latimana,5,Arachnida
Enoplognatha ovata,1,Arachnida
Enoploteuthis anapsis,2,Cephalopoda
Eolophus roseeicapilla -,1,Aves
Epermenia chaerophyllella,1,Insecta
Ephialtes manifestator,3,Insecta
